TransactionID,SaleDate,CustomerID,ProductID,StoreID,CampaignID,SaleAmount,DiscountPercent_num,PaymentType_cat,StandardDateTime
21,5/4/2025,1119,2055,403,2.0,?,10,Online,2025-05-04
22,5/4/2025,1062,2011,403,3.0,1229.22,15,Credit,2025-05-04
23,5/4/2025,1062,2096,404,3.0,672.18,15,Debit,2025-05-04
24,5/4/2025,1086,2003,404,2.0,924.43,-50,Debit,2025-05-04
25,5/4/2025,1046,2062,402,2.0,1981.95,10,Credit,2025-05-04
26,5/4/2025,1066,2043,403,2.0,698.76,10,Debit,2025-05-04
27,5/4/2025,1142,2001,402,0.0,1237.05,0,Credit,2025-05-04
28,5/4/2025,1061,2092,404,3.0,482.21,15,Debit,2025-05-04
29,5/4/2025,1142,2097,402,3.0,4210.5,15,0,2025-05-04
30,5/4/2025,1165,2091,404,3.0,4528.95,15,Online,2025-05-04
31,5/4/2025,1004,2011,403,1.0,737.53,5,Debit,2025-05-04
32,5/4/2025,1103,2088,402,2.0,0,10,Cash,2025-05-04
33,5/4/2025,1169,2074,403,3.0,0,300,Cash,2025-05-04
34,5/4/2025,1141,2067,403,3.0,872.85,15,Debit,2025-05-04
35,5/4/2025,1190,2070,403,2.0,54.69,10,Cash,2025-05-04
36,5/4/2025,1179,2058,403,2.0,1066.8,10,Credit,2025-05-04
37,5/4/2025,1064,2029,401,1.0,12.16,5,Cash,2025-05-04
38,5/4/2025,1080,2015,402,1.0,3037.36,5,Online,2025-05-04
39,5/4/2025,1055,2094,404,2.0,1578.72,10,Credit,2025-05-04
40,5/4/2025,1185,2075,403,0.0,0,0,Cash,2025-05-04
42,5/4/2025,1045,2038,401,1.0,1667.72,5,Credit,2025-05-04
43,5/4/2025,1070,2005,401,2.0,686.05,10,Debit,2025-05-04
44,5/4/2025,1178,2016,404,0.0,0,0,Cash,2025-05-04
45,5/4/2025,1003,2073,403,3.0,1498.29,15,Credit,2025-05-04
46,5/4/2025,1122,2056,403,1.0,944.5,5,Debit,2025-05-04
47,5/4/2025,1013,2032,404,0.0,2836.8,0,Online,2025-05-04
48,5/4/2025,1016,2051,404,0.0,117.32,0,Cash,2025-05-04
49,5/4/2025,1147,2080,401,1.0,0,5,Cash,2025-05-04
