TransactionID,SaleDate,CustomerID,ProductID,StoreID,CampaignID,SaleAmount,DiscountPercent_num,PaymentType_cat
1,5/4/2025,1034,2059,402,0,2048.2,0,Online
2,5/4/2025,1066,2048,403,1,321.87,5,Debit
3,5/4/2025,1116,2041,403,3,3216.84,15,Online
4,5/4/2025,1071,2096,404,2,1613.23,10,Credit
5,5/4/2025,1020,2060,401,0,408.38,0,Debit
6,5/4/2025,1089,2028,401,0,1275.88,0,Credit
7,5/4/2025,1193,2003,402,1,346.66,5,Debit
8,5/4/2025,1005,2079,402,1,855.49,5,Debit
9,5/4/2025,1032,2060,401,1,735.08,5,Debit
10,5/4/2025,1119,2089,403,2,661.63,10,Debit
11,5/4/2025,1042,2077,401,,505.65,0,Debit
12,5/4/2025,1079,2013,401,2,0,10,Cash
13,5/4/2025,1147,2086,404,3,4470.5,15,Online
14,5/4/2025,1183,2025,401,1,503.32,5,Debit
15,5/4/2025,1026,2089,403,0,413.52,0,Debit
16,5/4/2025,1144,2005,403,3,1715.12,15,Credit
17,5/4/2025,1169,2047,401,2,535.97,10,Debit
18,5/4/2025,1003,2053,404,0,3660.9,0,Online
19,5/4/2025,1110,2046,404,1,30.09,5,Cash
20,5/4/2025,1111,2022,403,3,671.18,15,Debit
21,5/4/2025,1119,2055,403,2,?,10,Online
22,5/4/2025,1062,2011,403,3,1229.22,15,Credit
23,5/4/2025,1062,2096,404,3,672.18,15,Debit
24,5/4/2025,1086,2003,404,2,924.43,10,Debit
25,5/4/2025,1046,2062,402,2,1981.95,10,Credit
26,5/4/2025,1066,2043,403,2,698.76,10,Debit
27,5/4/2025,1142,2001,402,0,1237.05,0,Credit
28,5/4/2025,1061,2092,404,3,482.21,15,Debit
29,5/4/2025,1142,2097,402,3,4210.5,15,Online
30,5/4/2025,1165,2091,404,3,4528.95,15,Online
31,2023-13-01,1004,2011,403,1,737.53,5,Debit
32,5/4/2025,1103,2088,402,2,0,10,Cash
33,5/4/2025,1169,2074,403,3,0,15,Cash
34,5/4/2025,1141,2067,403,3,872.85,15,Debit
35,5/4/2025,1190,2070,403,2,54.69,10,Cash
36,5/4/2025,1179,2058,403,2,1066.8,10,Credit
37,5/4/2025,1064,2029,401,1,12.16,5,Cash
38,5/4/2025,1080,2015,402,1,3037.36,5,Online
39,5/4/2025,1055,2094,404,2,1578.72,10,Credit
40,5/4/2025,1185,2075,403,0,0,0,Cash
41,5/4/2025,9999,2037,402,2,288.11,10,Cash
42,5/4/2025,1045,2038,401,1,1667.72,5,Credit
43,5/4/2025,1070,2005,401,2,686.05,10,Debit
44,5/4/2025,1178,2016,404,0,0,0,Cash
45,5/4/2025,1003,2073,403,3,1498.29,15,Credit
46,5/4/2025,1122,2056,403,1,944.5,5,Debit
47,5/4/2025,1013,2032,404,0,2836.8,0,Online
48,5/4/2025,1016,2051,404,0,117.32,0,Cash
49,5/4/2025,1147,2080,401,1,0,5,Cash
50,5/4/2025,1038,2072,403,0,840.6,0,Debit
51,5/4/2025,1063,2015,404,1,1214.95,5,Credit
52,5/4/2025,1198,2066,404,3,516.06,15,Debit
53,5/4/2025,1113,2038,404,2,2223.62,10,Online
54,5/4/2025,1145,2079,401,0,1901.08,0,Credit
55,5/4/2025,1195,2026,402,2,507.74,10,Debit
56,5/4/2025,1169,2010,402,1,140.11,5,Cash
57,5/4/2025,1044,2070,401,1,0,5,Cash
58,5/4/2025,1000,2052,404,3,2193.78,15,Online
59,5/4/2025,1074,2004,402,2,741.8,10,Debit
60,5/4/2025,1180,2036,404,0,217.98,0,Cash
61,5/4/2025,1175,2029,403,1,36.48,5,Cash
62,5/4/2025,1108,2014,402,1,221.67,5,Cash
63,5/4/2025,1068,2018,401,0,2169.04,0,Online
64,5/4/2025,1042,2039,403,3,2929.32,15,Online
65,5/4/2025,1031,2059,403,3,0,15,Cash
66,5/4/2025,1069,2064,404,3,1470.2,15,Credit
67,5/4/2025,1020,2076,401,3,4836.42,15,Online
68,5/4/2025,1188,2041,403,0,1608.42,0,Credit
69,5/4/2025,1023,2029,401,2,0,10,Cash
70,5/4/2025,1147,2005,402,3,0,15,Cash
71,5/4/2025,1132,2083,404,2,614.53,10,Debit
72,5/4/2025,1046,2074,404,3,659.5,15,Debit
73,5/4/2025,1023,2060,403,3,1225.14,15,Credit
74,5/4/2025,1085,2041,401,1,1447.58,5,Credit
75,5/4/2025,1084,2052,404,2,2925.04,10,Online
76,5/4/2025,1169,2051,401,3,117.32,15,Cash
77,5/4/2025,1022,2040,403,2,55.26,10,Cash
78,5/4/2025,1029,2098,404,0,3631.44,0,Online
79,5/4/2025,1168,2069,404,3,232.39,15,Cash
80,5/4/2025,1013,2024,403,3,372.81,15,Debit
81,5/4/2025,1160,2056,401,1,472.25,5,Debit
82,5/4/2025,1068,2070,402,2,109.38,10,Cash
83,5/4/2025,1112,2089,404,0,2067.6,0,Online
84,5/4/2025,1007,2080,402,1,1498.07,5,Credit
85,5/4/2025,1079,2070,401,3,34.18,15,Cash
86,5/4/2025,1023,2028,401,3,2551.76,15,Online
87,5/4/2025,1030,2082,402,3,799.8,15,Debit
88,5/4/2025,1183,2037,403,3,2160.84,15,Online
89,5/4/2025,1123,2060,402,3,2450.28,15,Online
90,5/4/2025,1141,2018,404,1,2440.17,5,Online
91,5/4/2025,1153,2065,402,0,470.34,0,Debit
92,5/4/2025,1070,2098,404,2,0,10,Cash
93,5/4/2025,1129,2034,401,2,108.94,10,Cash
94,5/4/2025,1185,2038,404,1,1667.72,5,Credit
95,5/4/2025,1114,2068,404,2,656.19,10,Debit
96,5/4/2025,1085,2070,404,3,0,15,Cash
97,5/4/2025,1082,2024,402,3,372.81,15,Debit
98,5/4/2025,1059,2099,404,0,1292.64,0,Credit
99,5/4/2025,1081,2095,404,3,490.79,15,Debit
100,5/4/2025,1098,2084,402,3,0,15,Cash
101,5/4/2025,1009,2016,403,0,969.06,0,Debit
102,5/4/2025,1112,2012,404,0,1869.57,0,Credit
103,5/4/2025,1184,2018,404,1,488.03,5,Debit
104,5/4/2025,1019,2060,403,2,0,10,Cash
105,5/4/2025,1159,2088,404,0,0,0,Cash
106,5/4/2025,1084,2086,404,2,2861.12,10,Online
107,5/4/2025,1160,2091,404,0,905.79,0,Debit
108,5/4/2025,1158,2008,402,2,159.82,10,Cash
109,5/4/2025,1058,2095,401,3,2453.95,15,Online
110,5/4/2025,1025,2097,401,3,842.1,15,Debit
111,5/4/2025,1042,2088,403,0,709.35,0,Debit
112,5/4/2025,1011,2041,401,2,0,10,Cash
113,5/4/2025,1091,2047,404,1,0,5,Cash
114,5/4/2025,1062,2067,404,1,0,5,Cash
115,5/4/2025,1043,2022,401,3,2684.72,15,Online
116,5/4/2025,1158,2087,402,3,477.96,15,Debit
117,5/4/2025,1149,2018,402,3,1626.78,15,Credit
118,5/4/2025,1163,2032,404,2,756.48,10,Debit
119,5/4/2025,1170,2001,404,2,659.76,10,Debit
120,5/4/2025,1173,2069,402,0,464.78,0,Debit
121,5/4/2025,1113,2044,403,3,0,15,Cash
122,5/4/2025,1176,2032,404,2,756.48,10,Debit
123,5/4/2025,1050,2049,404,0,2819.52,0,Online
124,5/4/2025,1060,2048,403,2,1144.42,10,Credit
125,5/4/2025,1179,2037,401,3,1440.56,15,Credit
126,5/4/2025,1070,2001,401,3,0,15,Cash
127,5/4/2025,1073,2099,402,2,0,10,Cash
128,5/4/2025,1056,2081,402,2,0,10,Cash
129,5/4/2025,1173,2096,402,0,672.18,0,Debit
130,5/4/2025,1160,2082,401,2,426.56,10,Debit
131,5/4/2025,1112,2004,403,1,1669.05,5,Credit
132,5/4/2025,1023,2037,403,3,2160.84,15,Online
133,5/4/2025,1044,2025,402,2,223.7,10,Cash
134,5/4/2025,1135,2064,403,1,793.91,5,Debit
135,5/4/2025,1065,2061,403,2,639.74,10,Debit
136,5/4/2025,1029,2059,401,1,921.69,5,Debit
137,5/4/2025,1193,2028,404,2,1531.06,10,Credit
138,5/4/2025,1023,2050,401,2,298.85,10,Cash
139,5/4/2025,1137,2015,404,2,539.98,10,Debit
140,5/4/2025,1172,2095,403,3,2453.95,15,Online
141,5/4/2025,1163,2047,401,1,301.48,5,Debit
142,5/4/2025,1120,2003,403,1,1039.99,5,Credit
143,5/4/2025,1165,2008,404,2,53.27,10,Cash
144,5/4/2025,1166,2052,401,1,658.13,5,Debit
145,5/4/2025,1011,2004,403,3,3709,15,Online
146,5/4/2025,1029,2012,402,1,0,5,Cash
147,5/4/2025,1099,2058,403,3,666.75,15,Debit
148,5/4/2025,1150,2095,402,3,490.79,15,Debit
149,5/4/2025,1167,2012,404,3,0,15,Cash
150,5/4/2025,1071,2004,403,1,834.52,5,Debit
151,5/4/2025,1113,2056,402,2,839.55,10,Debit
152,5/4/2025,1025,2087,403,2,0,10,Cash
153,5/4/2025,1015,2050,403,1,504.31,5,Debit
154,5/4/2025,1031,2058,401,1,2400.3,5,Online
155,5/4/2025,1164,2081,401,0,2984.88,0,Online
156,5/4/2025,1085,2031,402,1,508.77,5,Debit
157,5/4/2025,1017,2097,402,1,757.89,5,Debit
158,5/4/2025,1059,2042,402,0,0,0,Cash
159,5/4/2025,1070,2018,402,2,0,10,Cash
160,5/4/2025,1044,2014,401,1,886.68,5,Debit
161,5/4/2025,1003,2045,402,2,499.42,10,Debit
162,5/4/2025,1004,2022,403,0,671.18,0,Debit
163,5/4/2025,1032,2094,404,0,493.35,0,Debit
164,5/4/2025,1190,2008,404,3,266.36,15,Cash
165,5/4/2025,1199,2046,401,3,167.15,15,Cash
166,5/4/2025,1128,2028,401,2,2041.41,10,Online
167,5/4/2025,1117,2082,401,0,799.8,0,Debit
168,5/4/2025,1122,2051,404,0,234.64,0,Cash
169,5/4/2025,1125,2091,404,0,1811.58,0,Credit
170,5/4/2025,1020,2041,402,0,0,0,Cash
171,5/4/2025,1032,2035,403,3,4499.95,15,Online
172,5/4/2025,1152,2067,403,3,872.85,15,Debit
173,5/4/2025,1129,2077,404,0,2809.15,0,Online
174,5/4/2025,1179,2014,402,3,738.9,15,Debit
175,5/4/2025,1115,2029,404,2,0,10,Cash
176,5/4/2025,1116,2051,404,0,351.96,0,Debit
177,5/4/2025,1080,2054,403,2,3602.04,10,Online
178,5/4/2025,1095,2019,404,0,933.93,0,Debit
179,5/4/2025,1023,2010,401,3,0,15,Cash
180,5/4/2025,1024,2095,403,1,3533.69,5,Online
